product_id,product_name,brand,category,unit,image,chain,store_id,price,in_stock,product_url,last_checked
milk-vnm-1l,Sữa tươi Vinamilk có đường 1L,Vinamilk,Sữa,Hộp 1L,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2386/79312/bhx/79312-thumb-moi_202410291615089248.jpg,bhx,bhx-q1,40500,TRUE,https://www.bachhoaxanh.com/sua-tuoi/sttt-vinamilk-dan-bo-cd-1l,2026-06-18
milk-vnm-1l,Sữa tươi Vinamilk có đường 1L,Vinamilk,Sữa,Hộp 1L,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2386/79312/bhx/79312-thumb-moi_202410291615089248.jpg,bhx,bhx-q3,40500,TRUE,https://www.bachhoaxanh.com/sua-tuoi/sttt-vinamilk-dan-bo-cd-1l,2026-06-18
milk-vnm-1l,Sữa tươi Vinamilk có đường 1L,Vinamilk,Sữa,Hộp 1L,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2386/79312/bhx/79312-thumb-moi_202410291615089248.jpg,bhx,bhx-bt,40500,TRUE,https://www.bachhoaxanh.com/sua-tuoi/sttt-vinamilk-dan-bo-cd-1l,2026-06-18
milk-vnm-1l,Sữa tươi Vinamilk có đường 1L,Vinamilk,Sữa,Hộp 1L,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2386/79312/bhx/79312-thumb-moi_202410291615089248.jpg,coop,coop-q1,37500,TRUE,https://cooponline.vn/sua-tuoi-tiet-trung-vinamilk-100-co-duong-hop-giay-1l--s250106405,2026-06-18
milk-vnm-1l,Sữa tươi Vinamilk có đường 1L,Vinamilk,Sữa,Hộp 1L,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2386/79312/bhx/79312-thumb-moi_202410291615089248.jpg,coop,coop-bt,37500,TRUE,https://cooponline.vn/sua-tuoi-tiet-trung-vinamilk-100-co-duong-hop-giay-1l--s250106405,2026-06-18
oil-neptune-1l,Dầu ăn Neptune Light 1L,Neptune,Dầu ăn,Chai 1L,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2286/226995/bhx/226995-thumb-moi_202411071422115102.jpg,bhx,bhx-q1,65000,TRUE,https://www.bachhoaxanh.com/dau-an/dau-an-thuong-hang-neptune-light-chai-1-lit,2026-06-18
oil-neptune-1l,Dầu ăn Neptune Light 1L,Neptune,Dầu ăn,Chai 1L,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2286/226995/bhx/226995-thumb-moi_202411071422115102.jpg,bhx,bhx-q3,65000,TRUE,https://www.bachhoaxanh.com/dau-an/dau-an-thuong-hang-neptune-light-chai-1-lit,2026-06-18
oil-neptune-1l,Dầu ăn Neptune Light 1L,Neptune,Dầu ăn,Chai 1L,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2286/226995/bhx/226995-thumb-moi_202411071422115102.jpg,bhx,bhx-bt,65000,TRUE,https://www.bachhoaxanh.com/dau-an/dau-an-thuong-hang-neptune-light-chai-1-lit,2026-06-18
oil-neptune-1l,Dầu ăn Neptune Light 1L,Neptune,Dầu ăn,Chai 1L,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2286/226995/bhx/226995-thumb-moi_202411071422115102.jpg,coop,coop-q1,58500,TRUE,https://cooponline.vn/dau-an-neptune-light-chai-1l--s250110731,2026-06-18
oil-neptune-1l,Dầu ăn Neptune Light 1L,Neptune,Dầu ăn,Chai 1L,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2286/226995/bhx/226995-thumb-moi_202411071422115102.jpg,coop,coop-bt,58500,TRUE,https://cooponline.vn/dau-an-neptune-light-chai-1l--s250110731,2026-06-18
