album	playlist	bia	gia_album	video	ten_bai	gia_bai	an
Album "Mùa Hè Sôi Động 2026"	PLYa2nhvOT4LA	k47rkLLuDlg	999999	L5VrXT4QtZE	Mùa Hè Sôi Động 2026 | Khúc Chạm Summer Playlist | Vincent Phan	199999
Album "Mùa Hè Sôi Động 2026"				aKNusg0Fh7w	One Touch | Khúc Chạm | Vincent Phan (MV Lyric)	199999
Album "Mùa Hè Sôi Động 2026"				iFzN-AeQl2M	Khúc Chạm | Vincent Phan (MV Lyric)	199999
Album "Mùa Hè Sôi Động 2026"				iEEP8H6nnVk	Pelota de Paz | Khúc Chạm | Vincent Phan (MV Lyric)	199999
Album "Mùa Hè Sôi Động 2026"				ayV4zBEtj0U	Bóng Đá Và Hòa Bình | Khúc Chạm | Vincent Phan (MV Lyric)	199999
Album "Mùa Hè Sôi Động 2026"				k47rkLLuDlg	Mùa Hè Sôi Động 2026 | Khúc Chạm | Vincent Phan (MV Lyric)	199999
Album Video Short "Mùa Hè Sôi Động"	PL03y9OdRdBwZkLHzbUfMAyhcreXy92su9	rRZsSbzqOYI	999999	rRZsSbzqOYI	Cùng lắng nghe ca khúc chủ đề của Album Khúc Chạm nhé	199999
Album Video Short "Mùa Hè Sôi Động"				bEIuHiPJPpc	Nếu World Cup 2026 Có Một Bài Hát Về Hòa Bình | Pelota de Paz | Khúc Chạm	199999
Album Video Short "Mùa Hè Sôi Động"				_uGn-pDrFpk	Có ai cứ đến mùa World Cup là tự nhiên thấy mùa hè vui hơn không? ⚽☀️	199999
Album Video Short "Mùa Hè Sôi Động"				xe0pPfWAu5M	Bóng Đá Và Hòa Bình | Khi trái bóng lăn, mọi khoảng cách biến mất	199999
Album "Dự Báo Thời Tiết & Lời Nhắn Yêu Thương"	PL03y9OdRdBwZtfMVnGn32AM934J5fMz6p	B7QWA7X8vH0	999999	B7QWA7X8vH0	[ Bản Tin ] Dự Báo Thời Tiết 19.06.2026 | Khúc Chạm	199999
