product_id,gia_niem_yet,%_khuyen_mai
BHX0000001,54.000,19
BHX0000011,54.000,19
BHX0000186,114.000,0
BHX0000366,108.000,0
SPE0000208,3.047.000,0
SPE0000209,4.135.000,0
SPE0000335,203.000,37
SPE0000336,203.000,37
SPE0000337,203.000,37
SPE0000338,203.000,37
SPE0000340,270.000,32
SPE0000341,270.000,31
SPE0000342,270.000,31
SPE0000343,270.000,32
SPE0000344,270.000,31
SPE0000345,268.000,16
SPE0000346,268.000,16
SPE0000347,258.000,16
SPE0000348,258.000,16
SPE0000349,209.500,15
SPE0000350,209.500,15
GF00000081,35.000,0
GF00000082,49.000,0
GF00000083,49.000,0
GF00000084,49.000,0
GF00000085,35.000,0
GF00000086,59.000,0
GF00000087,69.000,0
GF00000088,49.000,0
GF00000089,35.000,0
GF00000090,49.000,0
GF00000091,55.000,0
GF00000092,59.000,0
GF00000093,69.000,0
GF00000094,42.000,0
GF00000095,64.000,0
GF00000096,42.000,0
GF00000097,69.000,0
GF00000098,59.000,0
GF00000099,49.000,0
GF00000100,39.000,0
GF00000101,54.000,0
GF00000102,64.000,0
GF00000103,54.000,0
GF00000104,54.000,0
GF00000105,54.000,0
GF00000106,64.000,0
GF00000107,54.000,0
GF00000108,64.000,0
GF00000109,64.000,0
GF00000110,50.000,0
GF00000111,55.000,0
GF00000112,52.000,0
GF00000113,45.000,0
GF00000114,49.000,0
GF00000115,55.000,0
GF00000116,69.000,0
GF00000117,55.000,0
GF00000118,65.000,0
GF00000119,45.000,0
GF00000120,45.000,0
40000275,100.980,5
40000276,100.980,5
40000277,100.980,5
40000278,100.980,5
40000283,37.800,5
40000284,37.800,5
40000285,37.800,5
40000286,37.800,5
40000279,114.048,5
40000280,114.048,5
40000281,32.400,5
40000282,32.400,5
40000232,127.440,7
40000233,127.440,7
40000234,127.440,7
40000235,199.800,7
40000236,199.800,7
40000237,199.800,7
40000238,191.160,7
40000239,191.160,7
40000240,191.160,7
40000241,204.120,7
40000242,204.120,7
40000243,204.120,7
40000263,194.400,7
40000264,194.400,7
40000265,259.200,7
40000266,259.200,7
40000267,194.400,7
40000268,194.400,7
40000269,259.200,7
40000270,259.200,7
50000018,225.000,5
50000019,225.000,5
50000020,225.000,5
50000021,225.000,5
50000022,225.000,5
50000023,225.000,5
50000024,225.000,5
50000025,225.000,5
50000026,225.000,5
TDAT000001,95.000,20
TDAT000002,95.000,20
TDAT000003,87.000,20
TDAT000004,87.000,20
TDAT000005,89.000,20
TDAT000006,79.000,20
TDAT000007,69.000,20
TDAT000008,79.000,20
TDAT000009,69.000,20
TDAT000010,79.000,20
TDAT000011,87.000,20
TDAT000012,75.000,20
TDAT000013,87.000,20
TDAT000014,87.000,20
TDAT000015,87.000,20
TDAT000016,87.000,20
TDAT000017,87.000,20
TDAT000018,79.000,20
TDAT000019,87.000,20
TDAT000020,76.000,20
TDAT000021,87.000,20
TDAT000022,79.000,20
TDAT000023,87.000,20
TDAT000024,76.000,20
TDAT000025,119.000,20
TDAT000026,,20
TDAT000027,79.000,20
TDAT000028,76.000,20
TDAT000029,,20
TDAT000030,79.000,20
TDAT000031,,20
TDAT000032,,20
TDAT000033,109.000,20
TDAT000034,109.000,20
TDAT000035,109.000,20
TDAT000036,95.000,20
TDAT000037,76.000,20
TDAT000038,95.000,20
TDAT000039,87.000,20
TDAT000040,95.000,20
TDAT000041,95.000,20
TDAT000042,95.000,20
TDAT000043,95.000,20
TDAT000044,95.000,20
TDAT000045,95.000,20
TDAT000046,95.000,20
TDAT000047,90.000,20
TDAT000048,90.000,20
TDAT000049,90.000,20
TDAT000050,85.000,20
TDAT000051,90.000,20
TDAT000052,80.000,20
TDAT000053,85.000,20
TDAT000054,75.000,20
TDAT000055,79.000,20
TDAT000056,89.000,20
TDAT000057,95.000,20
TDAT000058,109.000,20
TDAT000059,68.000,20
TDAT000060,79.000,20
TDAT000061,79.000,20
TDAT000062,79.000,20
TDAT000063,59.000,20
TDAT000064,59.000,20
TDAT000065,59.000,20
TDAT000066,68.000,20
TDAT000067,68.000,20
TDAT000068,68.000,20
TDAT000069,68.000,20
TDAT000070,95.000,20
TDAT000071,79.000,20
TDAT000072,87.000,20
TDAT000073,95.000,20
TDAT000074,95.000,20
TDAT000075,205.000,20
TDAT000076,,20
TDAT000077,,20
TDAT000078,,20
TDAT000079,,20
TDAT000080,,20
TDAT000081,,20
TDAT000082,,20
TDAT000083,,20
TDAT000084,,20
TDAT000085,,20
TDAT000086,197.000,20
TDAT000087,169.000,20
TDAT000088,69.000,20
TDAT000089,59.000,20
TDAT000090,69.000,20
TDAT000091,,20
TDAT000092,169.000,20
TDAT000093,,20
TDAT000094,59.000,20
TDAT000095,,20
TDAT000096,25.000,20
TDAT000097,25.000,20
TDAT000098,25.000,20
TDAT000099,19.000,20
TDAT000100,19.000,20
TDAT000101,15.000,20
TDAT000102,19.000,20
TDAT000103,19.000,20
TDAT000104,19.000,20
BHX0000002,16.300,0
BHX0000003,27.000,0
BHX0000004,46.200,0
BHX0000005,30.900,0
BHX0000006,50.000,19
BHX0000007,40.000,0
